"age","year","sex","n","mean_smoke_freq","mean_drink_freq","mean_social_media","mean_online_hrs","mean_sdq_conduct","mean_sdq_emotion","mean_sdq_hyperact","mean_sdq_peers","mean_sdq_prosocial","mean_sdq_total","mean_health","mean_disability","mean_happiness_index","mean_parent_index","mean_sib_index","mean_selfesteem_index","mean_tvhrs_index","mean_leisure_index"
15,2017,"Male",292,2.67647058823529,0.778846153846154,0.928082191780822,1.76865671641791,NA,NA,NA,NA,NA,NA,3.70934256055363,NA,5.60775862068966,2.92013888888889,NA,3.12497545409917,2.13620689655172,1.2302045414631
16,2017,"Female",4,NA,0,1,1.25,NA,NA,NA,NA,NA,NA,4,NA,5.54166666666667,3,NA,3.0625,2.125,0.96875
16,2017,"Male",5,5,1,0.8,1.25,NA,NA,NA,NA,NA,NA,4.2,NA,5.3,2.8,NA,3.325,2,1.375
10,2018,"Female",227,3,0.454545454545455,0.526548672566372,1.4406779661017,1.77777777777778,2.72,3.47555555555556,1.71555555555556,8.47787610619469,9.68888888888889,NA,2.91517857142857,6.1882962962963,2.89555275854835,3.24218374218374,NA,1.77333333333333,NA
10,2018,"Male",233,1,0.333333333333333,0.443965517241379,1.51960784313725,2.1038961038961,2.34782608695652,3.98260869565217,2.02597402597403,7.90909090909091,10.4478260869565,NA,2.83478260869565,5.98419540229885,2.92831596157776,3.17406380027739,NA,1.84513274336283,NA
11,2018,"Female",258,1.5,0.909090909090909,0.763565891472868,1.51794871794872,1.69260700389105,2.96887159533074,3.42801556420233,1.91796875,8.4921875,10.0078125,NA,2.87795275590551,6.07122395833333,2.84181026496202,3.3203125,NA,1.83529411764706,NA
11,2018,"Male",238,1.66666666666667,0.55,0.632911392405063,1.58783783783784,2.19574468085106,2.4549356223176,4.11637931034483,1.79399141630901,7.5,10.5584415584416,NA,2.86695278969957,5.93418079096045,2.8531712685074,3.14028944911298,NA,1.79203539823009,NA
12,2018,"Female",219,1.5,0.666666666666667,0.875576036866359,1.75263157894737,1.83410138248848,3.3594470046083,3.60829493087558,1.90783410138249,8.27188940092166,10.7096774193548,NA,2.87155963302752,5.857910906298,2.84281365514242,3.30206799214531,NA,1.86448598130841,NA
12,2018,"Male",251,1.5,0.586206896551724,0.854251012145749,1.55502392344498,2.02845528455285,2.58130081300813,4.18292682926829,1.89024390243902,7.59919028340081,10.6571428571429,NA,2.81048387096774,5.83480589022758,2.76298615063555,3.2459673959674,NA,1.83673469387755,NA
13,2018,"Female",254,1.75,0.910714285714286,0.936254980079681,2.10212765957447,1.8531746031746,3.72619047619048,3.68253968253968,1.83794466403162,8.02766798418972,11.1071428571429,NA,2.90438247011952,5.63484251968504,2.78942632170979,3.14246941896024,NA,1.84126984126984,NA
13,2018,"Male",211,1.6,0.868421052631579,0.895734597156398,1.63297872340426,2.14218009478673,2.64454976303318,4.43601895734597,1.92417061611374,7.30331753554502,11.1469194312796,NA,2.80769230769231,5.6195102685624,2.7872150756037,3.27513227513228,NA,1.8133971291866,NA
14,2018,"Female",234,2.66666666666667,1.0873786407767,0.957264957264957,2.10313901345291,1.72103004291845,3.85407725321888,3.53218884120172,1.82403433476395,8.11158798283262,10.931330472103,NA,2.88412017167382,5.50527065527065,2.78055555555556,3.18450604122246,NA,1.90948275862069,NA
14,2018,"Male",254,1.38888888888889,1.05376344086022,0.932539682539683,1.90128755364807,2.07936507936508,2.3968253968254,4.21343873517787,1.8695652173913,7.21343873517787,10.5357142857143,NA,2.86111111111111,5.69499341238472,2.72471296819123,3.23659259259259,NA,1.92460317460317,NA
15,2018,"Female",212,1.93333333333333,1.20472440944882,0.985849056603774,2.28985507246377,1.95714285714286,4.37142857142857,4.06635071090047,2.32701421800948,7.90995260663507,12.7238095238095,NA,2.84834123222749,5.21603773584906,2.75950134770889,3.23074352548037,NA,1.89622641509434,NA
